2025-11-21 00:50:00;SYSTEM;GAME_START;ALL_WILD;Players: 4
2025-11-21 00:50:00;Giocatore 1;DRAW;DoubleSidedCard;WILD_SKIP
2025-11-21 00:50:00;IA-1;DRAW;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:50:00;IA-2;DRAW;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:50:00;IA-3;DRAW;DoubleSidedCard;WILD_DRAW_FOUR_ALLWILD
2025-11-21 00:50:00;Giocatore 1;DRAW;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:50:00;IA-1;DRAW;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:50:00;IA-2;DRAW;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:50:00;IA-3;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:00;Giocatore 1;DRAW;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:50:00;IA-1;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:00;IA-2;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:00;IA-3;DRAW;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:50:00;Giocatore 1;DRAW;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:50:00;IA-1;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:00;IA-2;DRAW;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:50:00;IA-3;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:00;Giocatore 1;DRAW;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:50:00;IA-1;DRAW;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:50:00;IA-2;DRAW;DoubleSidedCard;WILD_DRAW_FOUR_ALLWILD
2025-11-21 00:50:00;IA-3;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:00;Giocatore 1;DRAW;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:50:00;IA-1;DRAW;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:50:00;IA-2;DRAW;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:50:00;IA-3;DRAW;DoubleSidedCard;WILD_DRAW_FOUR_ALLWILD
2025-11-21 00:50:00;Giocatore 1;DRAW;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:50:00;IA-1;DRAW;DoubleSidedCard;WILD_SKIP
2025-11-21 00:50:00;IA-2;DRAW;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:50:00;IA-3;DRAW;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:50:00;SYSTEM;SETUP_FIRST_CARD;ALL_WILD_START;Color: WILD
2025-11-21 00:50:07;IA-2;PLAY;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:12;IA-1;PLAY;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:15;Giocatore 1;PLAY;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:50:16;Giocatore 1;CHOOSEN_PLAYER;N/A;Giocatore 1
2025-11-21 00:50:16;Giocatore 1;DRAW;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:50:16;Giocatore 1;DRAW;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:50:21;IA-1;PLAY;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:22;Giocatore 1;PLAY;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:50:23;Giocatore 1;CHOOSEN_PLAYER;N/A;Giocatore 1
2025-11-21 00:50:23;Giocatore 1;DRAW;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:50:23;Giocatore 1;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:28;IA-1;PLAY;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:50:28;IA-1;CHOOSEN_PLAYER;N/A;IA-2
2025-11-21 00:50:28;IA-2;DRAW;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:50:28;IA-2;DRAW;DoubleSidedCard;WILD_SKIP
2025-11-21 00:50:33;IA-2;PLAY;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:50:33;IA-2;CHOOSEN_PLAYER;N/A;IA-1
2025-11-21 00:50:38;IA-3;PLAY;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:50:43;IA-2;PLAY;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:50:43;IA-3;DRAW;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:50:43;IA-3;DRAW;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:50:54;Giocatore 1;PLAY;DoubleSidedCard;WILD_SKIP
2025-11-21 00:50:59;IA-2;PLAY;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:50:59;IA-3;DRAW;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:50:59;IA-3;DRAW;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:51:02;Giocatore 1;PLAY;DoubleSidedCard;WILD_FORCED_SWAP
