2026-01-13 04:32:04;SYSTEM;GAME_START;CLASSIC;Players: 4
2026-01-13 04:32:04;Giocatore 1;DRAW;DoubleSidedCard;REVERSE
2026-01-13 04:32:04;IA-1;DRAW;DoubleSidedCard;NINE
2026-01-13 04:32:04;IA-2;DRAW;DoubleSidedCard;NINE
2026-01-13 04:32:04;IA-3;DRAW;DoubleSidedCard;REVERSE
2026-01-13 04:32:04;Giocatore 1;DRAW;DoubleSidedCard;REVERSE
2026-01-13 04:32:04;IA-1;DRAW;DoubleSidedCard;WILD
2026-01-13 04:32:04;IA-2;DRAW;DoubleSidedCard;ONE
2026-01-13 04:32:04;IA-3;DRAW;DoubleSidedCard;EIGHT
2026-01-13 04:32:04;Giocatore 1;DRAW;DoubleSidedCard;NINE
2026-01-13 04:32:04;IA-1;DRAW;DoubleSidedCard;WILD
2026-01-13 04:32:04;IA-2;DRAW;DoubleSidedCard;THREE
2026-01-13 04:32:04;IA-3;DRAW;DoubleSidedCard;FIVE
2026-01-13 04:32:04;Giocatore 1;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:32:04;IA-1;DRAW;DoubleSidedCard;NINE
2026-01-13 04:32:04;IA-2;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:32:04;IA-3;DRAW;DoubleSidedCard;TWO
2026-01-13 04:32:04;Giocatore 1;DRAW;DoubleSidedCard;ZERO
2026-01-13 04:32:04;IA-1;DRAW;DoubleSidedCard;SKIP
2026-01-13 04:32:04;IA-2;DRAW;DoubleSidedCard;ONE
2026-01-13 04:32:04;IA-3;DRAW;DoubleSidedCard;SIX
2026-01-13 04:32:04;Giocatore 1;DRAW;DoubleSidedCard;WILD
2026-01-13 04:32:04;IA-1;DRAW;DoubleSidedCard;THREE
2026-01-13 04:32:04;IA-2;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:32:04;IA-3;DRAW;DoubleSidedCard;THREE
2026-01-13 04:32:04;Giocatore 1;DRAW;DoubleSidedCard;TWO
2026-01-13 04:32:04;IA-1;DRAW;DoubleSidedCard;SKIP
2026-01-13 04:32:04;IA-2;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:32:04;IA-3;DRAW;DoubleSidedCard;THREE
2026-01-13 04:32:04;SYSTEM;SETUP_CARD_FLIPPED;DoubleSidedCard;Starting Color: BLUE
2026-01-13 04:32:23;Giocatore 1;PLAY;DoubleSidedCard;REVERSE
2026-01-13 04:32:28;IA-3;PLAY;DoubleSidedCard;REVERSE
2026-01-13 04:32:34;Giocatore 1;PLAY;DoubleSidedCard;REVERSE
2026-01-13 04:32:39;IA-3;PLAY;DoubleSidedCard;EIGHT
2026-01-13 04:32:44;IA-2;PLAY;DoubleSidedCard;ONE
2026-01-13 04:32:49;IA-1;PLAY;DoubleSidedCard;NINE
2026-01-13 04:32:51;Giocatore 1;PLAY;DoubleSidedCard;NINE
2026-01-13 04:32:56;IA-3;DRAW;DoubleSidedCard;SIX
2026-01-13 04:32:56;IA-3;PLAY;DoubleSidedCard;SIX
2026-01-13 04:33:01;IA-2;PLAY;DoubleSidedCard;SEVEN
2026-01-13 04:33:06;IA-1;PLAY;DoubleSidedCard;THREE
2026-01-13 04:33:08;Giocatore 1;PLAY;DoubleSidedCard;TWO
2026-01-13 04:33:13;IA-3;PLAY;DoubleSidedCard;TWO
2026-01-13 04:33:18;IA-2;PLAY;DoubleSidedCard;NINE
2026-01-13 04:33:23;IA-1;PLAY;DoubleSidedCard;NINE
2026-01-13 04:33:25;Giocatore 1;PLAY;DoubleSidedCard;WILD
2026-01-13 04:33:45;Giocatore 1;SET_COLOR;N/A;BLUE
2026-01-13 04:33:50;IA-3;PLAY;DoubleSidedCard;FIVE
2026-01-13 04:33:55;IA-2;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:33:55;IA-2;PASS_TURN;N/A;HandSize: 5
2026-01-13 04:34:00;IA-1;PLAY;DoubleSidedCard;SKIP
2026-01-13 04:34:05;IA-3;PLAY;DoubleSidedCard;THREE
2026-01-13 04:34:10;IA-2;PLAY;DoubleSidedCard;THREE
2026-01-13 04:34:15;IA-1;PLAY;DoubleSidedCard;WILD
2026-01-13 04:34:15;IA-1;SET_COLOR;N/A;BLUE
2026-01-13 04:34:19;Giocatore 1;PLAY;DoubleSidedCard;SEVEN
2026-01-13 04:34:20;Giocatore 1;CALL_UNO_SUCCESS;N/A;HandSize: 1
2026-01-13 04:34:24;IA-3;DRAW;DoubleSidedCard;ONE
2026-01-13 04:34:24;IA-3;PLAY;DoubleSidedCard;ONE
2026-01-13 04:34:29;IA-2;PLAY;DoubleSidedCard;ONE
2026-01-13 04:34:34;IA-1;PLAY;DoubleSidedCard;WILD
2026-01-13 04:34:34;IA-1;SET_COLOR;N/A;BLUE
2026-01-13 04:34:34;IA-1;CALL_UNO_SUCCESS;N/A;HandSize: 1
2026-01-13 04:34:36;Giocatore 1;PLAY;DoubleSidedCard;ZERO
2026-01-13 04:34:36;SYSTEM;GAME_OVER;N/A;Winner: Giocatore 1
