2026-01-13 04:34:50;SYSTEM;GAME_START;FLIP;Players: 4
2026-01-13 04:34:50;Giocatore 1;DRAW;DoubleSidedCard;DRAW_ONE
2026-01-13 04:34:50;IA-1;DRAW;DoubleSidedCard;REVERSE
2026-01-13 04:34:50;IA-2;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:34:50;IA-3;DRAW;DoubleSidedCard;ONE
2026-01-13 04:34:50;Giocatore 1;DRAW;DoubleSidedCard;FLIP
2026-01-13 04:34:50;IA-1;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:34:50;IA-2;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:34:50;IA-3;DRAW;DoubleSidedCard;FIVE
2026-01-13 04:34:50;Giocatore 1;DRAW;DoubleSidedCard;SIX
2026-01-13 04:34:50;IA-1;DRAW;DoubleSidedCard;SIX
2026-01-13 04:34:50;IA-2;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:34:50;IA-3;DRAW;DoubleSidedCard;SKIP
2026-01-13 04:34:50;Giocatore 1;DRAW;DoubleSidedCard;SEVEN
2026-01-13 04:34:50;IA-1;DRAW;DoubleSidedCard;FIVE
2026-01-13 04:34:50;IA-2;DRAW;DoubleSidedCard;TWO
2026-01-13 04:34:50;IA-3;DRAW;DoubleSidedCard;REVERSE
2026-01-13 04:34:50;Giocatore 1;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:34:50;IA-1;DRAW;DoubleSidedCard;WILD_DRAW_TWO
2026-01-13 04:34:50;IA-2;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:34:50;IA-3;DRAW;DoubleSidedCard;REVERSE
2026-01-13 04:34:50;Giocatore 1;DRAW;DoubleSidedCard;ONE
2026-01-13 04:34:50;IA-1;DRAW;DoubleSidedCard;FOUR
2026-01-13 04:34:50;IA-2;DRAW;DoubleSidedCard;REVERSE
2026-01-13 04:34:50;IA-3;DRAW;DoubleSidedCard;TWO
2026-01-13 04:34:50;Giocatore 1;DRAW;DoubleSidedCard;WILD
2026-01-13 04:34:50;IA-1;DRAW;DoubleSidedCard;ONE
